File Name : 2016.pdf
No. of Acronyms Found : 22
Acronyms, FullForms
CNN ,Convolutional Neural Network 
KL  ,Leibler 
RBMs  ,Restricted Boltzmann Machines 
PET ,positron emission tomography 
CAD . ,assisted diagnosis 
DLMIA . ,Learning in Medical Image Analysis 
SAE  ,of sparse autoencoder 
RNN ,Recurrent Neural Network 
PCA  ,principal component analysis 
SDAE  ,Stack denoising autoencoder 
SAEs  ,Stacked autoencoders 
KDE  ,Kernel density estimation 
DBN  ,Deep Belief Networks 
CT ,computed tomography 
VAE ,called variational autoencoder 
SGVB  ,gradient variational Bayes 
DBM  ,Deep Boltzmann machine 
SVM  ,Machine 
DAEs  ,Denoising autoencoder 
SSAE  ,autoencoder 
MRI ,imaging 
DGMs  ,deep generative models 
